Accession,Coverage,SeqLength,MW,Description,CountsTot,UniqueTot,Tyrs+Azy,Tyrs-Azy,WT+Azy,WT-Azy
sp|A2A432|CUL4B_MOUSE,7.6,970,110698,Cullin-4B OS=Mus musculus (Mouse) OX=10090 GN=Cul4b PE=1 SV=1,6,3,6,0,0,0
sp|A2A4P0|DHX8_MOUSE,1.9,1244,142570,ATP-dependent RNA helicase DHX8 OS=Mus musculus (Mouse) OX=10090 GN=Dhx8 PE=2 SV=1,2,2,2,0,0,0
sp|A2A5R2|BIG2_MOUSE,9.6,1792,202237,Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Arfgef2 PE=1 SV=1,23,10,1,0,10,12
sp|A2A5Z6|SMUF2_MOUSE,2.4,748,86174,E3 ubiquitin-protein ligase SMURF2 OS=Mus musculus (Mouse) OX=10090 GN=Smurf2 PE=1 SV=1,2,2,0,0,0,2
sp|A2A8L5|PTPRF_MOUSE,3.4,1898,211487,Receptor-type tyrosine-protein phosphatase F OS=Mus musculus (Mouse) OX=10090 GN=Ptprf PE=1 SV=1,15,1,4,4,5,2
sp|A2AAY5|SPD2B_MOUSE,5,908,101516,SH3 and PX domain-containing protein 2B OS=Mus musculus (Mouse) OX=10090 GN=Sh3pxd2b PE=1 SV=1,4,4,2,0,0,2
sp|A2AF47|DOC11_MOUSE,7.5,2073,237769,Dedicator of cytokinesis protein 11 OS=Mus musculus (Mouse) OX=10090 GN=Dock11 PE=1 SV=1,18,18,0,0,5,13
sp|A2AGH6|MED12_MOUSE,7.1,2190,244558,Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus (Mouse) OX=10090 GN=Med12 PE=1 SV=1,16,16,0,0,6,10
sp|A2AGT5|CKAP5_MOUSE,4.8,2032,225632,Cytoskeleton-associated protein 5 OS=Mus musculus (Mouse) OX=10090 GN=Ckap5 PE=1 SV=1,11,11,0,1,3,7
sp|A2AJK6|CHD7_MOUSE,0.7,2986,334057,Chromodomain-helicase-DNA-binding protein 7 OS=Mus musculus (Mouse) OX=10090 GN=Chd7 PE=1 SV=1,2,2,0,0,0,2
sp|Q09XV5|CHD8_MOUSE,0.8,2582,290844,Chromodomain-helicase-DNA-binding protein 8 OS=Mus musculus (Mouse) OX=10090 GN=Chd8 PE=1 SV=1,2,2,0,0,0,2
